frame,smile,mouth_open,head_turn
0,0.21220062885965618,0.0002921880181280098,0.005926395234252724
1,0.265547616141183,0.00034505751682445407,0.0072583484330347595
2,0.31903949379920954,0.00040219937467814555,0.00847169171486582
3,0.37256137388093125,0.0004205412114970386,0.009926909979965004
4,0.37370229618889944,0.00029463152999856636,0.009824644774198532
5,0.3737826687949044,0.00033386529789173177,0.009767226209597926
6,0.3738312976700918,0.00035033927997574205,0.010325678358120576
7,0.37396954638617375,0.00040349321456493005,0.010948399214872291
8,0.37372627428599764,0.0004312323788846177,0.011353002595049995
9,0.37380131227629526,0.0004335141358231859,0.012022251662399088
10,0.37369719999177115,0.0004495624660713864,0.012128436272697787
11,0.3734027317592076,0.0004332972249747918,0.011860005823629243
12,0.3734983546393258,0.0003916724734673542,0.011190989254308599
13,0.3739256305353982,0.00037467729167214457,0.010958690395844833
14,0.37345230153628756,0.00032813150651885996,0.009961533094091073
15,0.37356459242956974,0.00027701762779283205,0.009184032079896756
16,0.3733007567269461,0.00026218713901471347,0.00849133004833545
17,0.3734212347439357,0.00024215301319990037,0.007884193810501268
18,0.37292887909071787,0.00025880090730164994,0.007618181074836423
19,0.3725895200456891,0.0002274631946680269,0.008204963324325425
20,0.3722331311021532,0.00021892973122053912,0.00816729904285499
21,0.3724111914634704,0.00021227050871987425,0.008043383381196431
22,0.3723857232502528,0.0002205367012980527,0.00884279708511063
23,0.3728230595588684,0.00019672543982908661,0.009351605083793402
24,0.3727497160434723,0.00022792107172010996,0.00967766364504184
25,0.3734074532985687,0.00023413789105169208,0.0101637324717428
26,0.3741084081786019,0.00027427054010331625,0.010148435897592987
27,0.3746987070356096,0.0003113696626054921,0.009879448185009616
28,0.37533006497791827,0.00031395346741192043,0.010831233978803667
29,0.3765109692301068,0.0003315753835652556,0.01026282279885241
30,0.3761044783251626,0.00034665735854235076,0.010110525214778524
31,0.3775804553713117,0.0003479806889247681,0.01084178958886436
32,0.37766567298344206,0.0003610590522709701,0.010581752751022576
33,0.3784869696412767,0.00037343149805175405,0.010720329558742896
34,0.3786327413150242,0.00037261472815381633,0.011688731610774992
35,0.3793216560568128,0.00036373907434088845,0.012115317130727426
36,0.37835749983787537,0.0003482290610138859,0.012811279323484215
37,0.379036477633885,0.00036335478320584765,0.013494774433118957
38,0.3780536098139627,0.00038635544063124277,0.013461520762315817
39,0.3788380154541561,0.00036755066581203475,0.014220755148146833
40,0.3785974553653172,0.00039171336850683607,0.014830866429422582
41,0.3781117030552455,0.00036241059258048026,0.01533025676118476
42,0.37754130789211815,0.0003749331767072103,0.016138469401214803
43,0.3785800891263144,0.00037504194187931716,0.01733544216092144
44,0.3792570233345032,0.00035682267584239265,0.017740497099501745
45,0.37905334574835636,0.0003965204170006992,0.01961851359478065
46,0.37902513997895376,0.0004671071468952245,0.020721940057618276
47,0.37785149897847853,0.0004491842638734462,0.02202780943896089
48,0.37798065798623215,0.0004527439409035391,0.022173311827438216
49,0.3786218975271497,0.00043860253520376446,0.02157559192606381
50,0.3783231547900608,0.00044340037649297817,0.021238333146486963
51,0.3776237113135202,0.0004521139240491071,0.0210646672972611
52,0.3776835799217224,0.00035910935236773057,0.019587440682309016
53,0.37779294592993595,0.0002961721651705115,0.018379536590405872
54,0.378946874822889,0.00025368629992174514,0.017030293920210427
55,0.3791599869728088,0.0002564865499152802,0.016724796965718266
56,0.3789686858654022,0.0002956745125369967,0.017269047243254523
57,0.3787590903895241,0.0003064095186086238,0.016802200249263217
58,0.37857795613152634,0.0003278211817295024,0.016533668286034038
59,0.37871072122028887,0.00038253811778434155,0.016458442434668537
60,0.3782012292316981,0.0003886822981127937,0.016786412468978336
61,0.378283747604915,0.0004217758417196039,0.017256773742181913
62,0.37813746503421236,0.0004017638088303751,0.017291818878480365
63,0.3782914366040911,0.0003850948726592053,0.01704136734562261
64,0.3787888033049447,0.0004061693554311724,0.017001923705850328
65,0.37886929937771385,0.0004103404914660911,0.016307076572307514
66,0.379638590982982,0.00039839168104143543,0.015370842468525683
67,0.3802650954042162,0.00042775357100513896,0.014935385568865705
68,0.3816973396709986,0.000473401095535207,0.01323793815182788
69,0.38421082922390526,0.0005362453022306518,0.011455136085195198
70,0.3877579697540828,0.0006734268889496367,0.009693316516599484
71,0.3934468584401267,0.001513475128116884,0.008488823792764118
72,0.4019761681556701,0.0065261345090610635,0.009104307873972824
73,0.40959296907697407,0.013639552917863642,0.008495779242366552
74,0.41941575067383907,0.0209998431299547,0.006617812631053052
75,0.4290154789175306,0.028469324536022862,0.005218332059614893
76,0.4399910824639456,0.03548661642707884,0.004484713002706745
77,0.44893753102847506,0.04287885475371565,0.0032678122682097766
78,0.45792953031403666,0.04896598894681249,0.0018962411725494482
79,0.4653313500540597,0.050946906208992004,-0.0005851747950405947
80,0.47345675315175734,0.05094412980335099,-0.0016685647507464249
81,0.4808091904435839,0.050794757902622216,-0.0014594695530831816
82,0.485929216657366,0.0512236085321222,-0.0002890775711940868
83,0.4901880323886871,0.051932535001209805,0.0015596921023513588
84,0.4951100051403045,0.05225187486835888,0.0037739224332783905
85,0.4971903307097298,0.05276889726519585,0.006372403985421572
86,0.4999106739248548,0.053552265145948956,0.009218097730938877
87,0.5017347974436623,0.05410441756248474,0.011794448929971882
88,0.5019309307847704,0.05423767917922565,0.013805957910205637
89,0.5035378847803388,0.053831975907087326,0.015008263556020602
90,0.5036524789673942,0.053227770009211126,0.014757968751447541
91,0.5034153035708836,0.05280492401548794,0.01431884297302791
92,0.50409996509552,0.05234555953315325,0.013639514866684164
93,0.503327965736389,0.05121653899550437,0.012640950403043201
94,0.5028776952198574,0.05070476766143526,0.011646809987723827
95,0.5018984462533679,0.0499287194439343,0.01155537805919136
96,0.5017502095018114,0.04949946807963507,0.012401205620595386
97,0.5015729027135032,0.04952294752001762,0.014217869378626345
98,0.5020861157349177,0.04919058031269482,0.016054997885865823
99,0.5020661566938672,0.04934161688600268,0.01712087621646268
100,0.5016903025763375,0.049258357712200704,0.018101590419454236
101,0.5017712797437395,0.04920485668948718,0.01917215862444469
102,0.5032111619200026,0.04962332866021565,0.01918690265821559
103,0.5033603012561798,0.049393089754240845,0.01866862377417939
104,0.5036152899265289,0.04910183006099292,0.017876345531216687
105,0.5034568948405129,0.04864574489848954,0.016710083399500163
106,0.5036971867084503,0.04835386733923639,0.01632064314825194
107,0.5041987299919128,0.04839443575058664,0.016088656815035
108,0.5035910393510545,0.048331440027270994,0.015822298425648893
109,0.5028571358748843,0.04835045337677002,0.015785714079226763
110,0.5018216243812016,0.04876827022859029,0.015302196810288089
111,0.5010936430522372,0.048823518944638114,0.015023733090077127
112,0.5004933902195521,0.04913076013326644,0.014681808384401458
113,0.5001985686165945,0.04903721543295043,0.01427798452121871
114,0.4996787820543562,0.04936134868434497,0.013520700590951102
115,0.49951579315321787,0.0488401459796088,0.012962227022009236
116,0.49897654993193485,0.048792970499822064,0.01178240922412702
117,0.49868556431361605,0.04832081017749649,0.011434290292007581
118,0.4988175673144204,0.04812929034233093,0.010813682739223751
119,0.4987136253288814,0.0479258836380073,0.010293602278189998
120,0.4977033606597355,0.048150980579001565,0.009907566143998077
121,0.49696316037859234,0.04817782874618257,0.00947271759754845
122,0.4963877499103546,0.048598253833396096,0.008964512630232744
123,0.4968695597989219,0.04862990815724646,0.008565966106419052
124,0.4973445151533399,0.04839546712381499,0.007947511372289487
125,0.49785618696893963,0.048905054905584874,0.007235440026436534
126,0.497699852500643,0.04926365134971482,0.006474448035338095
127,0.49717061434473314,0.04889750746744019,0.006629709353936569
128,0.496830757175173,0.04868250180568014,0.006351017459694828
129,0.49611404112407137,0.04863115080765315,0.005563488529462899
130,0.49409179602350506,0.04810298287442752,0.005576683574223092
131,0.4908914906638009,0.0479065477848053,0.00493867344422532
132,0.48731009449277607,0.047780086419412074,0.0036042884291548815
133,0.48341744712420864,0.04806641595704214,0.0017679659816037326
134,0.48031265395028244,0.04859975299664905,0.0003874749610466616
135,0.47706902027130127,0.04847679553287369,4.6278050701533e-05
136,0.47599347148622784,0.048115263027804236,0.0001108167260619146
137,0.47323861292430325,0.04784707884703363,0.0003000016690098813
138,0.4713173721517835,0.04827997460961341,0.0005427352817995206
139,0.4683331208569662,0.04800978941576821,0.00124144389493657
